experiment,trace,size,block,assoc,repl,write,alloc,accesses,misses,missRate,writebacks,memWrites,compulsory,capacity,conflict,amat
assoc,matmul,8192,64,1,lru,back,allocate,1048576,339591,0.323859,44235,44235,1537,32383,305671,33.3859
assoc,matmul,8192,64,2,lru,back,allocate,1048576,274395,0.261683,3943,3943,1537,32383,240475,27.1683
assoc,matmul,8192,64,4,lru,back,allocate,1048576,267901,0.25549,512,512,1537,32383,233981,26.549
assoc,matmul,8192,64,8,lru,back,allocate,1048576,267901,0.25549,512,512,1537,32383,233981,26.549
assoc,matmul,8192,64,128,lru,back,allocate,1048576,33920,0.032349,512,512,1537,32383,0,4.2349
block,seqscan,8192,16,4,lru,back,allocate,131072,65552,0.500122,0,0,0,0,0,51.0122
block,matmul,8192,16,4,lru,back,allocate,1048576,271650,0.259066,2048,2048,0,0,0,26.9066
block,seqscan,8192,32,4,lru,back,allocate,131072,32784,0.250122,0,0,0,0,0,26.0122
block,matmul,8192,32,4,lru,back,allocate,1048576,269009,0.256547,1024,1024,0,0,0,26.6547
block,seqscan,8192,64,4,lru,back,allocate,131072,16400,0.125122,0,0,0,0,0,13.5122
block,matmul,8192,64,4,lru,back,allocate,1048576,267901,0.25549,512,512,0,0,0,26.549
block,seqscan,8192,128,4,lru,back,allocate,131072,8208,0.062622,0,0,0,0,0,7.2622
block,matmul,8192,128,4,lru,back,allocate,1048576,267709,0.255307,256,256,0,0,0,26.5307
capacity,matmul,2048,64,4,lru,back,allocate,1048576,268029,0.255612,512,512,1537,266492,0,26.5612
capacity,matmul,4096,64,4,lru,back,allocate,1048576,268029,0.255612,512,512,1537,266492,0,26.5612
capacity,matmul,8192,64,4,lru,back,allocate,1048576,267901,0.25549,512,512,1537,32383,233981,26.549
capacity,matmul,16384,64,4,lru,back,allocate,1048576,267717,0.255315,512,512,1537,32383,233797,26.5315
capacity,matmul,32768,64,4,lru,back,allocate,1048576,25876,0.024677,512,512,1537,4147,20192,3.4677
capacity,matmul,65536,64,4,lru,back,allocate,1048576,1541,0.00147,257,257,1537,0,4,1.147
capacity,matmul,131072,64,4,lru,back,allocate,1048576,1537,0.001466,0,0,1537,0,0,1.1466
repl,matmul,8192,64,4,lru,back,allocate,1048576,267901,0.25549,512,512,0,0,0,26.549
repl,matmul,8192,64,4,fifo,back,allocate,1048576,282763,0.269664,15231,15231,0,0,0,27.9664
repl,matmul,8192,64,4,random,back,allocate,1048576,283297,0.270173,16195,16195,0,0,0,28.0173
repl,listwalk,8192,64,4,lru,back,allocate,524288,204431,0.389921,0,0,0,0,0,39.9921
repl,listwalk,8192,64,4,fifo,back,allocate,524288,202770,0.386753,0,0,0,0,0,39.6753
repl,listwalk,8192,64,4,random,back,allocate,524288,203159,0.387495,0,0,0,0,0,39.7495
write,matmul,8192,64,4,lru,through,no-allocate,1048576,267901,0.25549,0,262144,0,0,0,26.549
write,matmul,8192,64,4,lru,back,allocate,1048576,267901,0.25549,512,512,0,0,0,26.549
locality,matmul,8192,64,4,lru,back,allocate,1048576,267901,0.25549,512,512,0,0,0,26.549
locality,seqscan,8192,64,4,lru,back,allocate,131072,16400,0.125122,0,0,0,0,0,13.5122
locality,listwalk,8192,64,4,lru,back,allocate,524288,204431,0.389921,0,0,0,0,0,39.9921
locality,randscan,8192,64,4,lru,back,allocate,262144,229192,0.874298,0,0,0,0,0,88.4298
